"age","gender","review","education","purchased"
29,"Male","Excellent","PhD",0
47,"Female","Excellent","PhD",1
27,"Other","Good","Master's",0
45,"Other","Good","PhD",0
67,"Female","Excellent","Bachelor's",0
35,"Other","Terrible","Master's",1
23,"Male","Good","Bachelor's",1
23,"Female","Poor","Diploma",0
42,"Female","Poor","Diploma",0
51,"Other","Terrible","PhD",1
23,"Male","Average","High School",1
32,"Male","Excellent","High School",0
55,"Female","Excellent","PhD",1
18,"Female","Excellent","High School",1
62,"Other","Excellent","PhD",1
19,"Female","Terrible","PhD",0
30,"Other","Good","PhD",0
52,"Male","Excellent","Master's",1
55,"Other","Good","Bachelor's",0
55,"Other","Good","PhD",1
45,"Female","Average","High School",1
41,"Female","Poor","Diploma",0
49,"Other","Excellent","High School",0
45,"Female","Average","Diploma",0
56,"Other","Terrible","High School",0
33,"Other","Excellent","Master's",0
68,"Male","Excellent","Diploma",1
41,"Other","Good","Bachelor's",0
61,"Female","Good","High School",0
56,"Female","Average","High School",0
37,"Other","Good","Master's",1
44,"Male","Good","High School",1
27,"Female","Poor","High School",0
50,"Other","Average","Master's",0
38,"Other","Average","Master's",0
25,"Male","Poor","Bachelor's",0
59,"Female","Terrible","Diploma",0
32,"Female","Good","High School",0
43,"Female","Average","Diploma",0
59,"Female","Good","PhD",0
29,"Male","Good","Master's",1
30,"Male","Average","Master's",1
59,"Male","Poor","Bachelor's",0
61,"Female","Excellent","PhD",1
60,"Other","Terrible","Diploma",0
66,"Male","Good","High School",1
27,"Female","Average","High School",0
39,"Female","Average","Bachelor's",0
67,"Other","Excellent","PhD",0
44,"Female","Good","Master's",0
23,"Male","Good","Bachelor's",0
69,"Male","Average","Bachelor's",1
58,"Other","Excellent","Bachelor's",0
53,"Other","Excellent","Master's",1
61,"Other","Terrible","PhD",1
30,"Other","Good","High School",0
62,"Male","Average","Diploma",0
22,"Other","Excellent","High School",0
59,"Other","Average","PhD",1
31,"Other","Good","PhD",1
70,"Other","Average","High School",0
27,"Male","Terrible","PhD",0
60,"Other","Average","Diploma",1
70,"Other","Average","Diploma",1
47,"Other","Poor","Bachelor's",0
65,"Other","Terrible","PhD",0
22,"Male","Good","Master's",0
50,"Male","Average","Bachelor's",0
70,"Male","Average","PhD",1
36,"Female","Poor","High School",1
55,"Other","Excellent","Bachelor's",0
46,"Other","Terrible","PhD",0
34,"Other","Good","High School",0
34,"Male","Average","Diploma",1
29,"Female","Poor","Master's",0
43,"Other","Terrible","High School",0
29,"Male","Average","PhD",1
51,"Female","Poor","Bachelor's",0
33,"Female","Poor","Bachelor's",0
30,"Other","Average","Bachelor's",1
66,"Female","Poor","Master's",0
22,"Other","Terrible","Bachelor's",0
38,"Other","Terrible","Diploma",0
20,"Male","Good","PhD",0
49,"Female","Excellent","PhD",0
41,"Male","Poor","Bachelor's",0
70,"Other","Average","PhD",0
61,"Other","Poor","Bachelor's",1
25,"Male","Good","Bachelor's",1
58,"Male","Average","Bachelor's",1
35,"Female","Excellent","PhD",1
18,"Other","Terrible","PhD",1
60,"Female","Average","Master's",1
63,"Male","Poor","Master's",1
20,"Male","Average","PhD",0
31,"Male","Good","PhD",0
27,"Other","Poor","Diploma",1
39,"Female","Excellent","Bachelor's",0
44,"Female","Average","Bachelor's",1
58,"Other","Terrible","High School",0
48,"Female","Excellent","Bachelor's",1
27,"Female","Terrible","Master's",1
35,"Other","Terrible","Diploma",0
20,"Other","Terrible","Bachelor's",0
62,"Other","Poor","Master's",1
51,"Male","Terrible","Bachelor's",0
62,"Female","Terrible","Master's",0
68,"Other","Average","Master's",1
20,"Male","Terrible","PhD",0
27,"Other","Excellent","High School",0
53,"Female","Excellent","High School",1
25,"Other","Average","Diploma",0
36,"Male","Terrible","Bachelor's",0
47,"Male","Poor","Bachelor's",0
43,"Female","Poor","Master's",0
42,"Female","Excellent","Diploma",1
25,"Other","Good","High School",0
31,"Male","Terrible","High School",1
53,"Other","Good","High School",0
50,"Male","Average","High School",0
41,"Other","Good","Bachelor's",0
22,"Male","Poor","PhD",1
67,"Other","Excellent","High School",0
58,"Male","Average","Master's",0
35,"Male","Good","Master's",0
31,"Female","Terrible","PhD",1
30,"Male","Excellent","PhD",1
18,"Female","Good","Diploma",1
62,"Male","Excellent","Bachelor's",1
67,"Female","Average","Bachelor's",0
39,"Male","Average","High School",1
34,"Other","Excellent","PhD",1
36,"Other","Average","PhD",1
67,"Other","Poor","Master's",0
21,"Female","Excellent","Diploma",0
29,"Other","Poor","Bachelor's",0
56,"Female","Poor","PhD",1
69,"Male","Excellent","Master's",0
63,"Other","Excellent","PhD",1
39,"Male","Excellent","Bachelor's",0
66,"Male","Terrible","Master's",1
35,"Other","Average","Diploma",1
36,"Female","Poor","PhD",0
53,"Other","Excellent","High School",0
19,"Other","Terrible","Master's",1
32,"Female","Terrible","Diploma",1
30,"Male","Excellent","Diploma",1
44,"Male","Terrible","Diploma",1
18,"Female","Excellent","Master's",1
28,"Male","Terrible","PhD",0
49,"Male","Poor","High School",0
21,"Female","Average","Master's",0
57,"Other","Average","Diploma",0
29,"Female","Average","High School",0
44,"Male","Poor","Master's",0
64,"Male","Terrible","High School",0
70,"Other","Good","High School",0
52,"Male","Average","Master's",0
22,"Other","Poor","Master's",1
26,"Other","Good","PhD",1
27,"Other","Excellent","Master's",0
47,"Other","Average","Master's",0
61,"Male","Terrible","Diploma",0
59,"Female","Excellent","PhD",0
61,"Female","Terrible","Diploma",1
19,"Female","Poor","Bachelor's",0
56,"Male","Terrible","Master's",0
45,"Male","Terrible","Bachelor's",0
57,"Other","Good","Bachelor's",0
28,"Male","Poor","High School",1
56,"Female","Terrible","Bachelor's",1
35,"Other","Good","Diploma",0
63,"Male","Average","High School",0
46,"Female","Terrible","PhD",0
69,"Other","Excellent","Master's",0
39,"Male","Average","Master's",1
51,"Male","Terrible","Diploma",1
69,"Male","Average","Master's",0
32,"Other","Average","Bachelor's",1
19,"Female","Terrible","PhD",0
39,"Other","Excellent","Master's",1
51,"Other","Terrible","Master's",0
70,"Female","Average","Bachelor's",0
65,"Male","Terrible","Bachelor's",1
25,"Female","Good","Master's",1
69,"Female","Good","High School",1
50,"Other","Average","Master's",1
18,"Male","Terrible","High School",1
27,"Other","Terrible","PhD",0
53,"Female","Terrible","Diploma",1
66,"Other","Poor","PhD",0
